timestamp,release_name
1447163414,refs/tags/release-0.10.0
1448192472,refs/tags/release-0.10.1
1454525976,refs/tags/release-0.10.2
1389311293,refs/tags/release-0.4
1401366585,refs/tags/release-0.5
1400346669,refs/tags/release-0.5-rc1
1400771602,refs/tags/release-0.5-rc2
1401263003,refs/tags/release-0.5-rc3
1408103869,refs/tags/release-0.6
1413655015,refs/tags/release-0.7.0
1421318952,refs/tags/release-0.8.0
1424091141,refs/tags/release-0.8.1
1434623159,refs/tags/release-0.9.0
1440709201,refs/tags/release-0.9.1
1456994067,refs/tags/release-1.0.0
1459431633,refs/tags/release-1.0.1
1460983368,refs/tags/release-1.0.2
1462539482,refs/tags/release-1.0.3
1470162653,refs/tags/release-1.1.0
1470744548,refs/tags/release-1.1.1
1472569379,refs/tags/release-1.1.2
1476105992,refs/tags/release-1.1.3
1482144170,refs/tags/release-1.1.4
1489748051,refs/tags/release-1.1.5
1581099499,refs/tags/release-1.10.0
1580140077,refs/tags/release-1.10.0-rc1
1580914749,refs/tags/release-1.10.0-rc2
1581099499,refs/tags/release-1.10.0-rc3
1588831131,refs/tags/release-1.10.1
1587715048,refs/tags/release-1.10.1-rc1
1588308775,refs/tags/release-1.10.1-rc2
1588831131,refs/tags/release-1.10.1-rc3
1597648452,refs/tags/release-1.10.2
1597128531,refs/tags/release-1.10.2-rc1
1597648452,refs/tags/release-1.10.2-rc2
1611114346,refs/tags/release-1.10.3
1611114346,refs/tags/release-1.10.3-rc1
1593439994,refs/tags/release-1.11.0
1590255192,refs/tags/release-1.11.0-rc1
1592447534,refs/tags/release-1.11.0-rc2
1592967561,refs/tags/release-1.11.0-rc3
1593439994,refs/tags/release-1.11.0-rc4
1594789329,refs/tags/release-1.11.1
1594789329,refs/tags/release-1.11.1-rc1
1599661143,refs/tags/release-1.11.2
1599661143,refs/tags/release-1.11.2-rc1
1607771605,refs/tags/release-1.11.3
1607422051,refs/tags/release-1.11.3-rc1
1607771605,refs/tags/release-1.11.3-rc2
1626834058,refs/tags/release-1.11.4
1626834058,refs/tags/release-1.11.4-rc1
1639394601,refs/tags/release-1.11.5-rc1
1639521496,refs/tags/release-1.11.6
1639521496,refs/tags/release-1.11.6-rc1
1606895356,refs/tags/release-1.12.0
1604903480,refs/tags/release-1.12.0-rc1
1606761893,refs/tags/release-1.12.0-rc2
1606895356,refs/tags/release-1.12.0-rc3
1610199996,refs/tags/release-1.12.1
1608891003,refs/tags/release-1.12.1-rc1
1610199996,refs/tags/release-1.12.1-rc2
1614356068,refs/tags/release-1.12.2
1614356068,refs/tags/release-1.12.2-rc2
1619171345,refs/tags/release-1.12.3
1619171345,refs/tags/release-1.12.3-rc1
1620657095,refs/tags/release-1.12.4
1620657095,refs/tags/release-1.12.4-rc1
1627012343,refs/tags/release-1.12.5
1625119546,refs/tags/release-1.12.5-rc1
1626314830,refs/tags/release-1.12.5-rc2
1627012343,refs/tags/release-1.12.5-rc3
1639394793,refs/tags/release-1.12.6-rc1
