timestamp,code|design-debt,requirement-debt,documentation-debt,test-debt
1319123217,32,17,0,3
1319145915,32,17,0,3
1319595486,0,0,0,0
1319604457,0,0,0,0
1319619856,2,0,0,0
1319714787,-2,0,0,0
1319718070,0,1,0,0
1319784162,0,1,0,0
1319788048,0,1,0,0
1319792703,-2,0,0,0
1320119814,1,0,0,0
1320135446,-1,0,0,0
1320141284,1,0,0,0
1320221792,0,0,0,0
1320322393,0,0,0,0
1320740268,-1,0,0,0
1320925530,-1,0,0,0
1321260788,-1,-1,0,0
1321261096,0,2,0,0
1321261547,1,1,0,0
1321262047,0,1,0,0
1321338836,27,21,0,3
1321447187,1,0,0,0
1321500733,0,1,0,0
1321586454,0,-1,0,0
1322140171,1,0,0,0
1322536810,0,4,0,0
1322570518,0,1,0,0
1322573630,1,0,0,0
1323401065,0,1,0,0
1323938867,29,27,0,3
1324631736,0,1,0,0
1324892626,0,0,0,0
1324983164,0,1,0,0
1324994902,-27,-21,0,-3
1324994978,27,21,0,3
1325405008,29,29,0,3
1326273493,29,28,0,3
1328526296,29,28,0,3
1328687510,0,1,0,0
1328882853,1,0,0,0
1329135748,-1,0,0,0
1329208795,1,0,0,0
1329273029,1,0,0,0
1330430520,1,0,0,0
1330487252,29,28,0,3
1330663500,29,28,0,3
1331024691,0,0,0,0
1331064400,0,0,0,0
1331091479,1,0,0,0
1331099832,1,0,0,0
1331109374,-1,-1,0,0
1331178537,0,0,0,0
1331272874,1,0,0,0
1331695546,36,26,0,3
1331698056,36,26,0,3
1332313380,0,1,0,0
1332432171,4,6,0,0
1332519932,0,0,0,0
1332519965,0,0,0,0
1332519976,0,0,0,0
1332519987,0,0,0,0
1332520066,0,0,0,0
1332520209,0,0,0,0
1332520280,0,0,0,0
1332520422,0,0,0,0
1332520444,0,0,0,0
1332520471,0,0,0,0
1332520518,0,0,0,0
1332520526,0,0,0,0
1332520536,0,0,0,0
1332520565,0,0,0,0
1332598290,36,27,0,3
1334316722,36,27,0,3
1334817793,0,8,0,0
1334819655,0,1,0,0
1334824567,-2,-6,0,0
1335234624,-4,-6,0,0
1335440178,0,0,0,0
1335583632,0,0,0,0
1336017189,0,1,0,0
1336027129,0,1,0,0
1336124936,0,3,0,0
1336366377,-2,0,0,0
1336379359,0,0,0,0
1337060387,34,32,0,3
1337149510,36,27,0,3
1337149529,36,27,0,3
1337149573,34,32,0,3
1337329594,3,1,0,0
1337337809,2,0,0,0
1337338290,0,0,0,0
1337843891,-5,-1,0,0
1338203987,5,1,0,0
1338373195,-2,0,0,0
1338560983,32,32,0,3
1339055519,32,32,0,3
1339485627,1,0,0,0
1339640884,37,33,0,3
1340686312,-1,0,0,0
1341060543,0,-4,0,0
1341419461,0,1,0,0
1341905273,1,0,0,0
1342085393,1,0,0,0
1342099937,11,32,0,0
1342144236,11,32,0,0
1342403412,-1,0,0,0
1342437160,-1,0,0,0
1342617577,1,0,0,0
1342621949,1,0,0,0
1342666054,0,0,0,0
1342708851,0,0,0,0
1342771294,2,0,0,0
1343110567,0,-1,0,0
1343218930,0,-1,0,0
1343365296,2,0,0,0
1343373825,2,0,0,0
1343615016,2,-5,0,0
1343820081,1,0,0,0
1343887331,2,0,0,0
1345029172,0,0,0,0
1346118006,1,0,0,0
1346212951,1,0,0,0
1346213870,-1,0,0,0
1347514466,1,0,0,0
1350530463,3,1,0,0
1399997663,16,1,0,0
1465289710,1,0,0,0
1503569117,-1,0,0,0
1504093106,3,0,0,0
1504172319,0,1,0,0
1504194693,0,1,0,0
1505394333,2,0,0,0
1507686641,0,0,0,1
1509185242,3,0,0,0
1512445523,0,3,0,0
1513072761,1,1,0,0
1513086681,0,0,0,0
1513674236,0,-1,0,0
1513914722,-1,0,0,0
1514182288,0,0,0,0
1514303202,1,0,0,0
1514882020,20,15,0,0
1514966808,-1,-1,0,0
1514969825,-1,0,0,0
1515028170,-1,-1,0,0
1515656504,-18,-23,0,0
1515986168,0,-2,0,0
1517815229,-1,0,0,0
1518096012,1,0,0,0
1519375927,0,0,0,0
1520337871,-5,-1,0,0
1522900304,0,0,0,-1
1524291007,-2,0,0,0
1524457173,0,-1,0,0
1525326728,-1,-2,0,0
1525411954,1,0,0,0
1526171403,1,0,0,0
1526284555,0,0,0,0
1526350125,1,0,0,0
1526544008,0,1,0,0
1526544980,0,0,0,0
1526545157,0,0,0,0
1528337506,-17,-1,0,0
1528938388,4,1,0,0
1529043040,0,-3,0,0
1529379069,1,0,0,0
1530496997,0,1,0,0
1530879976,0,1,0,0
1531146744,1,0,0,0
1531274084,7,0,0,0
1531374893,1,0,0,0
1531524487,-17,-1,0,0
1531650186,-17,-1,0,0
1531917319,-2,0,0,0
1532573575,0,0,0,0
1533025656,1,0,0,0
1534146274,-3,0,0,0
1534814346,-1,0,0,0
1534829210,3,0,0,0
1535261871,2,1,0,0
1535277442,2,1,0,0
1535344375,0,0,0,0
1535448262,3,-2,0,0
1536043449,2,0,0,0
1536043485,1,0,0,0
1536043887,2,0,0,0
1536045040,7,2,0,0
1536045051,5,0,0,0
1536057074,1,0,0,0
1536308198,7,1,0,0
1536309215,-2,0,0,0
1536309287,5,1,0,0
1536310556,5,1,0,0
1536318215,1,0,0,0
1536483866,1,0,0,0
1536561224,2,0,0,0
1536653824,2,0,0,0
1536733727,0,0,0,0
1536826950,4,0,0,0
1536917478,3,0,0,0
1538206052,1,0,0,0
1539315611,0,-1,0,0
1539610536,0,0,0,0
1539756347,-2,0,0,0
1539769181,-2,0,0,0
1539769348,2,0,0,0
1539774761,1,0,0,0
1539774812,-1,0,0,0
1539915424,-2,0,0,0
1539930327,-2,0,0,0
1540178371,-2,0,0,0
1540363924,-1,0,0,0
1540524917,0,1,0,0
1540569346,0,0,0,1
1540880522,4,2,0,0
1540881392,0,-1,0,1
1540894460,-4,0,0,0
1540954900,0,1,0,1
1540968504,-1,0,0,0
1540971756,-1,0,0,0
1541040431,0,1,0,0
1541040632,4,0,0,0
1541041639,-1,0,0,0
1541056708,0,0,0,0
1541056754,1,0,0,0
1541062075,7,0,0,0
1541386150,0,0,0,0
1541402669,0,0,0,0
1541753811,2,-1,0,0
1542192120,2,-1,0,0
1542252804,0,0,0,0
1542264770,0,0,0,0
1542264847,1,0,0,0
1542265191,0,0,0,0
1542355662,1,0,0,0
1542427848,0,0,0,0
1542429091,0,0,0,0
1542695615,0,0,0,0
1542793391,2,0,0,0
1542861579,-1,0,0,0
1542875397,0,0,0,0
1542878607,0,0,0,0
1542878961,-1,0,0,0
1542975001,1,0,0,0
1543310949,2,0,0,0
1543316862,-4,0,0,0
1543823992,1,0,0,0
1543830063,1,0,0,0
1543893227,1,0,0,0
1544152661,-1,0,0,0
1545016928,1,0,0,0
1545017355,2,-2,0,0
1545101993,0,0,0,1
1545124077,0,0,0,0
1545224047,1,0,0,0
1545300764,-1,0,0,0
1545400858,0,-1,0,0
1545568178,32,1,0,0
1545717410,1,0,0,0
1545791379,0,0,0,0
1545826609,-1,0,0,0
1545826648,0,-1,0,0
1545896462,-1,0,0,0
1545907683,1,0,0,0
1545912332,0,0,0,0
1546048358,-1,0,0,0
1546067602,-1,0,0,0
1546347303,1,0,0,0
1546395132,-1,0,0,0
1546432823,1,0,0,0
1546437676,1,-1,0,0
1546493428,2,0,0,0
1546505879,1,0,0,0
1546572898,-1,0,0,0
1546577522,-2,0,0,0
1546762039,0,1,0,0
1546775121,0,1,0,0
1547019801,1,0,0,0
1547220494,-1,0,0,0
1547459477,2,0,0,0
1547534113,1,0,0,0
1547547891,1,0,0,0
1547637494,-1,0,0,0
1547692267,2,1,0,0
1548149589,5,2,0,0
1548297106,0,0,0,-1
1548311805,0,0,0,-1
1548668891,1,0,0,0
1548901530,2,0,0,0
1549003206,2,0,0,0
1549074669,1,0,0,0
1549182921,2,0,0,0
1549636739,3,0,0,0
1549874133,0,1,0,0
1549962710,0,1,0,0
1551086766,3,0,0,1
1551146276,2,0,0,0
1551153201,2,0,0,0
1551953575,0,6,0,0
1551960922,1,0,0,0
1552133850,1,2,0,0
1552289218,2,2,0,0
1552548769,0,-1,0,0
1552553656,0,-1,0,0
1552562043,-2,0,0,0
1552633460,-2,0,0,0
1552641248,0,0,0,1
1552713093,2,1,0,0
1552713154,2,1,0,0
1552788501,2,1,0,0
1553050604,0,-1,0,0
1553097365,2,0,0,0
1553149761,12,4,0,-1
1553426609,2,0,0,0
1553581713,12,4,0,-1
1553586454,-13,-4,0,1
1553587027,12,4,0,-1
1553591457,0,0,0,1
1554252344,0,0,0,1
1555036170,-5,-1,0,0
1555040957,3,0,0,0
1555639466,3,0,0,0
1556090401,1,0,0,0
1556265269,-2,0,0,0
1556409027,-2,0,0,0
1556530913,-1,0,0,0
1556607439,1,0,0,0
1557469192,1,0,0,0
1557474608,1,0,0,0
1557475579,1,0,0,0
1557576482,3,0,0,0
1557726159,-1,0,0,0
1557821550,-1,0,0,0
1557889056,-2,0,0,0
1558017460,0,0,0,0
1558078993,1,0,0,0
1558141541,0,2,0,0
1558341779,1,2,0,0
1558420006,1,0,0,0
1558426705,0,0,0,0
1558430411,0,0,0,0
1558577944,-5,-1,0,0
1558579152,-5,-1,0,0
1558680877,2,0,0,0
1558712682,2,0,0,0
1559272377,1,0,0,0
1559272413,1,0,0,0
1559538209,2,0,0,0
1559549247,1,0,0,0
1559812480,1,0,0,0
1559989039,1,0,0,0
1560741167,3,0,0,0
1561540161,4,0,0,0
1561601364,0,0,0,0
1562033832,-1,0,0,0
1562232038,-3,0,0,0
1562319053,0,0,0,0
1562815809,0,0,0,0
1562824208,0,0,0,0
1562832341,-4,0,0,0
1562897160,-1,0,0,0
1562897735,-1,0,0,0
1563358698,-5,0,0,0
1564107252,1,0,0,0
1564107945,1,0,0,0
1564188417,-3,0,0,0
1564211878,1,0,0,0
1564386299,0,-1,0,0
1564472812,0,-1,0,0
1565232134,0,-1,0,0
1565232503,1,0,0,0
1565235402,0,-1,0,0
1565251407,0,0,0,0
1565252568,2,-1,0,0
1565256798,1,0,0,0
1565318188,0,0,0,0
1565318402,1,0,0,0
1565575047,0,0,0,0
1565600361,1,0,0,0
1565600422,1,0,0,0
1565601024,-1,0,0,0
1565601972,-1,0,0,0
1565660507,1,0,0,0
1565667183,-1,0,0,1
1565698428,1,0,0,0
1565699453,1,0,0,1
1565768249,0,0,0,0
1565839410,0,1,0,0
1565925051,-2,1,0,0
1565925109,-2,1,0,0
1565925182,-2,1,0,0
1565937105,-1,0,0,0
1565940005,-1,0,0,0
1565941829,0,-1,0,0
1565947329,-1,0,0,0
1565949296,-1,-1,0,0
1566283817,-2,-1,0,0
1566299946,1,0,0,0
1566370077,1,0,0,0
1566546088,1,0,0,0
1566783860,1,0,0,0
1566810985,2,0,0,0
1566824708,1,0,0,0
1566825316,2,0,0,0
1566871079,0,0,0,0
1566889034,1,0,0,0
1566984963,2,0,0,0
1567041916,2,0,0,0
1567068360,3,0,0,0
1567068537,2,0,0,0
1567069213,1,0,0,0
1567157461,1,5,0,0
1567423087,0,-5,0,0
1567491460,2,0,0,0
1567665598,2,0,0,0
1567668012,2,0,0,0
1567775098,3,0,0,0
1567776762,1,0,0,0
1568183962,1,0,0,0
1568618638,1,0,0,0
1568706618,4,0,0,0
1568787899,1,0,0,0
1568804347,-1,0,0,0
1568853720,-1,0,0,0
1569725997,5,0,0,0
1569812714,3,1,0,0
